hallazgo_id,plan_id,auditor,name_hallazgo,capitulo,dependencia,descripcion,causa,efecto
11,2,slromerop,3.3.1.7,02 - AUDITORIA DE DESEMPEÑO,DRFC,"HALLAZGO ADMINISTRATIVO CON PRESUNTA INCIDENCIA DISCIPLINARIA POR LA PUBLICACIÓN EXTEMPORÁNEA Y/O NO PUBLICACIÓN DE LOS SOPORTES CONTRACTUALES DE LOS CONTRATOS: DE ARRENDAMIENTO N.° 1281, LA ORDEN DE SERVICIO PARA OBRAS DE MITIGACIÓN N° 1521 DE 2022 Y EL CONTRATO DE ARRENDAMIENTO N.° 1125 DE 2022, EN EL SISTEMA ELECTRÓNICO DE CONTRATACIÓN PÚBLICA - SECOP.","FALTA DE SEGUIMIENTO POR PARTE DE LA SUPERVISION DEL CONTRATO  Y DEPENDENCIAS ENCARGADAS AL NO PUBLICAR Y/O PUBLICACION EXTEMPORANEA DE DOCUMENTOS DE LOS CONTRATOS: CONTRATO DE ARRENDAMIENTO N.° 1281 DEL 2022, CONTRATO ORDEN DE SERVICIO PARA OBRAS DE MITIGACIÓN N°1521 DEL 2022 Y CONTRATO DE ARRENDAMIENTO N.º 1125 DE 2022; A LA PLATAFORMA DEL SECOP II.",
12,3,jeguzmang,4.2.5,AUDITORÍA INTERNA      ,SGSST,"No se evidencia que se realice el  mantenimiento preventivo y/o correctivo en las instalaciones, equipos y herramientas de acuerdo con los manuales de uso de estos y los informes de las inspecciones o reportes de condiciones inseguras.","No se cuenta con un programa de mantenimiento preventivo y/o correctivo  para las instalaciones, equipos y herramientas.",
13,3,jeguzmang,6.1.3,AUDITORÍA INTERNA      ,SGSST,"No se aportan las evidencias documental de las acciones correctivas, preventivas y/o de mejora que se implementaron según lo detectado en la revisión por la Alta Dirección del Sistema de Gestión de Seguridad y Salud en el Trabajo.",No se evidencia revisión por la alta dirección.,
14,4,llvergaraa,1,AUDITORÍA INTERNA      ,IDEXUD,"Falta de responsabilidad en la entrega, pertinencia, y calidad de la información, estando en contravía de la normatividad interna, distrital, nacional e internacional, esto en contravía la Circular 092 de 2011","La falta de oportunidad y pertinencia en la entrega, pertinencia y calidad de la información se debe a la no presentación oportuna de la información solicitada durante la auditoría; La ausencia de controles y seguimientos efectivos en los procesos internos. ",
15,4,llvergaraa,8,AUDITORÍA INTERNA      ,IDEXUD,No se evidencia una administración del riesgo de manera integral que vincule al líder del Proceso y gestores del mismo. Se debe realizar una administración y evaluación del riesgo de acuerdo a los ejes evaluadores concebidos en el mapa de riesgos y de acuerdo a los procesos que tiene la universidad (22). Falta de verificación de los controles formulados en la matriz de riesgos del proceso,"El mapa integral de riesgos puede estar desactualizado, reflejando una realidad pasada en lugar de los riesgos actuales que conlleva a la falta de verificación de los controles formulados en la matriz de riesgos produciendo  una brecha en la implementación efectiva de medidas de control y en la monitorización de su eficacia.",
16,4,llvergaraa,9,AUDITORÍA INTERNA      ,IDEXUD,"Documentación del proceso (caracterización, procesos, procedimientos, formatos, indicadores, mapa de riesgos, normograma). Falta de revisión continua a la documentación del proceso para su control y seguimiento y así mismo para las modificaciones a que haya lugar y se identifiquen. Se debe actualizar la caracterización, se deben identificar y unificar los procesos, procedimientos y formatos para que desde el líder y sus gestores se maneje la misma información.","falta de procedimientos formales para la revisión continua de la documentación del proceso; falta de actualización o en la modificación no registrada de la documentación y  ausencia de responsables designados para la revisión, actualización y control de la documentación  ",
17,4,llvergaraa,13,AUDITORÍA INTERNA      ,IDEXUD,"No se evidencia gestión por parte del líder del proceso y gestores del mismo, para corregir o mitigar los hallazgos Identificados en los planes de mejoramiento formulados; esto según lo establecido en la resolución 507 del 13 de septiembre de 2023.","alta de procedimientos claros y definidos que indiquen cómo el líder del proceso y los gestores deben abordar los hallazgos identificados en los planes de mejoramiento.
ausencia de un sistema efectivo de monitoreo y seguimiento puede llevar a la falta de supervisión y gestión de los hallazgos identificados en los planes de mejoramiento.",
18,5,slromerop,2.1.1,AUDITORÍA INTERNA      ,VIA,Hallazgo por la falta de documentación propia del centro de apoyo y desarrollo educativo y profesional - CADEP acacia,La no adscripción al SIGUD. El no reconocimiento del sistema de gestión actual de Centro Acacia,
19,5,slromerop,2.1.2,AUDITORÍA INTERNA      ,VIA,Hallazgo por diferencias en las acciones e indicadores establecidos en el plan de acción de la vicerrectoría académica.,Solicitud de ajuste de indicadores del plan de acción de Centro Acacia no atendida,
20,5,slromerop,2.4.1,AUDITORÍA INTERNA      ,VIA,Hallazgo por la falta de soportes respecto a las actividades de los docentes vinculados a CADEP acacia.,El formato de plan de trabajo en línea de los profesores de planta no discrimina actividades especificas,
21,6,llvergaraa,1,AUDITORÍA INTERNA      ,SAAM,"Incumplimiento del Objetivo y Alcance del proceso, según el modelo de operaciones","Falta de armonización con la oficina de control interno y oficina asesora de planeación para realizar seguimiento, control, medición y verificación del objetivo y alcance del proceso de gestión documental.",
22,6,llvergaraa,2,AUDITORÍA INTERNA      ,SAAM,"Incumplimiento del artículo 6° de la Resolución de Rectoría 214 con fecha julio 24 de 2014, “Por la cual se crea el Subsistema Interno de Gestión Documental y Archivo SIGA-UD y se modifica la composición y funciones del Comité de Archivo de la Universidad Distrital Francisco José de Caldas”, “coordinación, control y seguimiento de la Gestión Documental, Archivo y Correspondencia” en toda la Universidad.","Falta de armonización con la oficina de control interno y oficina asesora de planeación para realizar seguimiento, control, medición y verificación de la implementación del Subsistema Interno de Gestión Documental y Archivo SIGA-UD en todas las dependencias de la Universidad.",
23,6,llvergaraa,3,AUDITORÍA INTERNA      ,SAAM,"Se debe dar prioridad al cumplimiento del numeral “k. Elaborar los instrumentos de control necesarios, artículo 7, Resolución de Rectoría 214 con fecha julio 24 de 2014",Falta de instrumentos de medición y control necesarios para evaluar la implementación del SIGA-UD en la Universidad,
24,6,llvergaraa,4,AUDITORÍA INTERNA      ,SAAM,"Falta de revisión regular de los procedimientos para su utilización, control y seguimiento.",Falta de personal suficiente para realizar procesos adicionales como el de seguimiento y medición de la aplicación de los procedimientos en todas las más de 200 unidades académicas y administrativas de la Universidad.,
25,6,llvergaraa,5,AUDITORÍA INTERNA      ,SAAM,"Los controles aplicados a cada uno de los riesgos identificados en el eje de Calidad están siendo inoperantes, esto ya que después de su aplicación no disminuyen la zona de riego en la cual se encuentra.","Falta de revisión, modificación y ajustes de los controles aplicados a cada uno de los riesgos identificados en el eje de calidad, esto ya que el tratamiento de los mismos está siendo inoperante.",
26,6,llvergaraa,6,AUDITORÍA INTERNA      ,SAAM,"El control aplicado al riesgo identificado en el eje de Corrupción, está siendo inoperante, esto ya que después de su aplicación no disminuyen la zona de riego en la cual se encuentra.","Falta de revisión, modificación y ajustes de los controles aplicados a cada uno de los riesgos identificados en el eje de corrupción esto ya que el tratamiento de los mismos está siendo inoperante.",
27,6,llvergaraa,7,AUDITORÍA INTERNA      ,SAAM,"En términos del levantamiento del Inventario volumétrico Documental de la Universidad: De los 15.000 metros lineales totales de archivo volumétrico estimados por la SAAM, solo se han inventariado 5175.02 mts lineales de archivo, cifra bastante bajo con respecto al total estimado por la SAAM.",Falta de continuidad en el proceso de levantamiento del Inventario documental debido a la falta de recursos de personal suficiente e idóneo para realizar esta actividad,
28,6,llvergaraa,9,AUDITORÍA INTERNA      ,SAAM,"Atraso significativo en la implementación de cada uno de los programas aprobados al interior de la Universidad (Plan Institucional de Archivo, Programa de Gestión Documental, Tabla de Retención Documental, Banco Terminológico, Modelo de Requisitos).",Falta de recursos suficientes para la implementación de cada uno de los instumentos archivísticos al interior de la Universidad.,
29,6,llvergaraa,10,AUDITORÍA INTERNA      ,SAAM,Falta de espacios físicos de depósito para el almacenamiento de archivo central de la universidad y que cumplan con todos los requerimientos exigidos por la norma archivística.,Falta de espacios adecuados de conformidad con la normatividad archivística para el almacenamiento de la documentación.,
30,6,llvergaraa,11,AUDITORÍA INTERNA      ,SAAM,Inexistencia de un Sistema de Gestión de Documentos Electrónicos de Archivo – SGDEA.,Falta de un Sistema de Gestión de Documentos Electrónicos de Archivo que cumplan con todos lo requisitos y requerimientos técnicos que necesita la Univeridad.,
31,6,llvergaraa,12,AUDITORÍA INTERNA      ,SAAM,No se evidencia el seguimiento semestral que debe realizar la dependencia de SAAM a los planes de mejoramiento.,Falta de programación para realizar el seguimiento de los planes de mejoramiento.,
32,7,joaramirezt,1.1,AUDITORÍA INTERNA      ,DRH,Hallazgo por desactualización de la caracterización del proceso gestión y desarrollo del talento humano,Ausencia de control y seguimiento sobre la actualización de Procesos y Procedimientos de la Oficina ,
33,7,joaramirezt,1.2,AUDITORÍA INTERNA      ,DRH,Hallazgo por el indebido registro de los planes en la caracterización del proceso,Ausencia de control y seguimiento sobre la actualización de Procesos y Procedimientos de la Oficina ,
34,7,joaramirezt,2.1,AUDITORÍA INTERNA      ,DRH,Hallazgo por la no presentación y seguimiento de los indicadores del proceso,Ausencia de control y seguimiento sobre la ejecución de los Procesos y Procedimientos de la Oficina ,
35,7,joaramirezt,3.1,AUDITORÍA INTERNA      ,DRH,Hallazgo por no uso de los formatos establecidos en el procedimiento,"Falta de actualización de los procedimientos, guías, manuales, normograma, indicadores, formatos y demás asociados al procedimiento de Cesantias ",
36,7,joaramirezt,3.2,AUDITORÍA INTERNA      ,DRH,Hallazgo por la no legalizacion de las cesantias en los tiempos determinados,Falta de actualización de  procedimiento de Cesantias lo que impide el adecuado seguimiento de las legalizaciones ,
37,7,joaramirezt,3.2,AUDITORÍA INTERNA      ,DRH,Hallazgo por la no legalizacion de las cesantias en los tiempos determinados,Falta de actualización de  procedimiento de Cesantias lo que impide el adecuado seguimiento de las legalizaciones ,
38,7,joaramirezt,3.3,AUDITORÍA INTERNA      ,DRH,Hallazgo por el no registro de la documentación - proceso de cesantías ,Falta de actualización de  procedimiento de Cesantias lo que impide el adecuado archivo y gestión documental del Proceso,
39,7,joaramirezt,3.4,AUDITORÍA INTERNA      ,DRH,Hallazgo por el pago de cesantias por concepto de “impuesto predial”,Falta de actualización de  procedimiento de Cesantias ,
40,7,joaramirezt,4.1 ,AUDITORÍA INTERNA      ,DRH,Hallazgo por el no desarrollo y ejecución de la evaluacion de desempeño,"Dilaciones en la Aprobación de la Comisión de Personal, teniendo en cuenta la inconformidad de los Sindicatos con la Comisión",
41,7,joaramirezt,5.1,AUDITORÍA INTERNA      ,DRH,"Hallazgo, por el no registro de entrega en las solicitudes de certificación",Falta de actualización y divulgación del  procedimiento de Expedición de Certificaciones,
42,7,joaramirezt,5.1,AUDITORÍA INTERNA      ,DRH,"Hallazgo, por el no registro de entrega en las solicitudes de certificación",Falta de actualización y divulgación del  procedimiento de Expedición de Certificaciones,
43,7,joaramirezt,6.1.1,AUDITORÍA INTERNA      ,DRH,"Hallazgo, por la no adopcion del plan de capacitaciones en las vigencias establecidas y no presentar y sustentar el informe de gestión ante el comité de capacitación",Ausencia de controles sobre la adopción del Plan de Capacitaciones y sus repectivos avances,
44,7,joaramirezt,6.1.1,AUDITORÍA INTERNA      ,DRH,"Hallazgo, por la no adopcion del plan de capacitaciones en las vigencias establecidas y no presentar y sustentar el informe de gestión ante el comité de capacitación",Ausencia de controles sobre la adopción del Plan de Capacitaciones y sus repectivos avances ,
45,7,joaramirezt,7.1,AUDITORÍA INTERNA      ,DRH,Hallazgo por la no actualización de los procesos y procedimientos en el marco de la nueva planta global de la universidad,Falta de divulgación y de sensibilización del personal de Planta de la Universidad distrital sobre los desafios y cambios que traen los cambios propuestos ,
46,7,joaramirezt,8.1,AUDITORÍA INTERNA      ,DRH,Hallazgo por el no uso del procedimiento establecido para la liquidación de la nomina.,Falta de actualización y divulgación del  procedimiento de Liquidación de Nómina,
47,7,joaramirezt,8.2,AUDITORÍA INTERNA      ,DRH,"Hallazgo: por falta de soporte del procedimiento en formato excel, se solicitó especificación de los conceptos y valores aplicados a cada funcionario sujeto pasivo de la retención en la fuente para vigencia 2022 y 2023",Falta de actualización y divulgación del  procedimiento de Liquidación de Retención en la fuente ,
48,7,joaramirezt,8.3,AUDITORÍA INTERNA      ,DRH,"Hallazgo: no relacionaron todas las primas que hacen parte del pago de la nómina, conforme lo indica la resolución 04 de 2003 del consejo superior",Falta de actualización y divulgación del  procedimiento de Liquidación de Nómina,
49,7,joaramirezt,8.4,AUDITORÍA INTERNA      ,DRH,"Hallazgo: por la no aplicación del acuerdo 15 de 2023 y la resolución 004 de 2003, en la liquidación gastos de representación",Falta de actualización y divulgación del  procedimiento de Liquidación de Retención en la fuente ,
50,7,joaramirezt,9.1,AUDITORÍA INTERNA      ,DRH,Hallazgo: por no reportar de manera completa la información solicitada,Falta de actualización y divulgación de los procesos de archivo y gestión documental de la Oficina,
51,7,joaramirezt,10.1,AUDITORÍA INTERNA      ,DRH,Hallazgo por la no respuesta oportuna de los derechos de petición y solucitudes de los ciudadanos,Ausencia de control y seguimiento de los Requerimientos recibidos por Organos de Control,
52,7,joaramirezt,11.1,AUDITORÍA INTERNA      ,DRH,Hallazgo por incumplimiento de la política de gestión documental para el archivo de hojas de vida de los servidores públicos.,Ausencia de Controles sobre la actualización documental de los Expedientes de la Oficina,
53,7,joaramirezt,11.1,AUDITORÍA INTERNA      ,DRH,Hallazgo por incumplimiento de la política de gestión documental para el archivo de hojas de vida de los servidores públicos.,Ausencia de Controles sobre la actualización documental de los Expedientes de la Oficina ,
54,8,jeguzmang,1.1 ,AUDITORÍA INTERNA      ,AGI,"Falta de Control en el número de placa: Según las visitas realizadas, se ha observado que los activos de la Universidad carecen de una adecuada identificación a través de números de placa. Esto se evidencia en la presencia de activos sin placa, placas deterioradas, números de placas inconsistentes con los litados y elementos paqueteados individualmente, mientras que en los listados se encuentran agrupados de forma general","No se ha solicitado por parte de las personas que tiene en custodia los elementos  la necesidad de solicitar la impresión de placas deterioradas o que se hallan caído, ni la Oficina de Almacen General tiene planificado para cambio de placas deterioradas",
55,8,jeguzmang,1.2 ,AUDITORÍA INTERNA      ,AGI," Deficiencia en el Procedimiento para dar de baja a los elementos: El grupo auditor ha identificado elementos que, a pesar de haber sido dados de baja, continúan en servicio para docentes y alumnos.  Esto genera incertidumbre en los procesos de baja, y según los responsables, los procedimientos para dar de baja los elementos pueden extenderse hasta dos (2) años, además se han encontrado depósitos con materiales obsoletos que no han sido debidamente gestionados para su baja.",En vigencias anteriores se realizaba la baja en el sistema sin recoger el elemento,
56,8,jeguzmang,1.3 ,AUDITORÍA INTERNA      ,AGI,"Deficiencia en el proceso de mantenimiento de los elementos de laboratorios: El grupo auditor ha observado elementos de laboratorio que no se utiliza debido a la falta de mantenimiento.  A pesar de que se ha informado sobre esta situación en el momento oportuno, hasta la fecha no se ha recibido ninguna solución.",No se cuenta con un plan de mantenimiento institucionalizado ,
57,8,jeguzmang,1.4 ,AUDITORÍA INTERNA      ,DRFC,"Falta de Procedimiento para salvaguardar y proteger los elementos de labor en espacios adecuados: El grupo auditor ha identificado elementos de laboratorio instalados bajo techos con humedad que causan daños y goteos en los elementos, lo que evidencia la falta de procedimientos para salvaguardar y proteger adecuadamente estos activos.",Falta de articulación entre Oficina de infraestructura y Laboratorios para establecer un plan de trabajo ,
58,8,jeguzmang,1.5 ,AUDITORÍA INTERNA      ,DRFC,"Deficiencia en el proceso de adquisición: El grupo auditor ha identificado la adquisición de elementos de laboratorio con una antigüedad de hasta siete (7) años, que aun no se han utilizado.  Esto refleja una falta de control en la adquisición de elementos de laboratorio de acuerdo a las necesidades y coordinación para su implementación.",Falta de identificar las necesidades de capacitación y accesorios o insumos adicionales para el funcionamiento optimo de los equipos de laboratorio ,
59,8,jeguzmang,1.6 ,AUDITORÍA INTERNA      ,AGI,"Falta de Control en el Procedimiento para la Recepción de Elementos Donados: El equipo auditor ha encontrado elementos donados que no están registrados en los litados de Almacén ni de los Coordinadores, y que están en uso.  Además se han identificado elementos donados destinados a la baja sin haber sido utilizados, lo que demuestra debilidades en el proceso de recepción de elementos donados","No se cuenta con un procedimiento estandarizado para la recepción de elemntos donados, sin embargo si existe normatividad interna ",
60,8,jeguzmang,1.7 ,AUDITORÍA INTERNA      ,DRFC,"Falta de Procedimientos y Control de los Elementos en Deposito denominados “Almacén de Laboratorios”: El grupo auditor ha evidenciado que en las sedes existen depósitos denominados “Almacén de Laboratorio”, que son gestionados por los Coordinadores, contratistas y estudiantes.  Estos depósitos almacenan elementos para el uso diario de docentes y estudiantes a través de préstamos, pero se ha observado una falta de control en la entrega y recepción de elementos, en la ubicación física de los activos y en la ubicación contable de los Almacenes en los Estados Financieros.  En algunos casos, se ha utilizado un formato interno para los prestamos que no cumplen con los requisitos establecidos en el Proceso de Gestión de Laboratorios SIGUD (Código GL-PR-001-FR-001).",Faltan de actualización del formato con necesidades reales ,
61,8,jeguzmang,2.1 ,AUDITORÍA INTERNA      ,AGI,"Inconsistencia en los saldos de elementos devolutivos y Elementos de consumo controlados de laboratorio, reportados en los listados de almacén vs listado de coordinadores vs conteo físico de elementos: Tras el análisis de la información, la auditoria ha identificado una discrepancia del 287.30% en elementos que no se reflejan en las cuantas del Almacén, y un 84.13% de elementos que no están registrados en los listados de los Coordinadores de Laboratorio.  Esta situación genera un detrimento patrimonial y aumenta la incertidumbre en los Estados Financieros, lo cual representa un incumplimiento del Marco Normativo para Entidades de Gobierno en relación a las propiedades, planta y equipo.","La información que generar ARKA I, no es confiable, adicionalmente los listados que se manejan en las coordinaciones no identifica si nos elementos de consumo de acuerdo a las politicas contables de la entidad. ",
62,8,jeguzmang,3.1 ,AUDITORÍA INTERNA      ,AGI,".
Sobrestimación en el saldo de la cuenta de activos de maquinaria y equipo de laboratorio: Después de llevar a cabo una conciliación entre los Estados Financieros y los listados de elementos proporcionados por el Almacén, el equipo de auditoría a identificado una sobrestimación en las cuentas 16350210,16600210 y 8315100726.  Esta sobrestimación asciende a un total de $ 5.996.724.441, lo que representa el 15% del valor total reportado en dichas cuenta
","La información que genera ARKA I, no es confiable, adicionalmente los listados que se manejan en las coordinaciones no identifica si nos elementos de consumo de acuerdo a las politicas contables de la entidad. ",
